sample_id,latitude,longitude,elevation_m,magnetic_intensity_nT,potassium_percent,uranium_ppm,thorium_ppm,geological_unit
GS-001,8.8124,7.3412,425,48120,2.71,3.02,11.4,Granite
GS-002,8.8341,7.3821,392,47980,2.43,2.61,10.2,Gneiss
GS-003,8.7912,7.4215,468,47840,1.51,2.04,7.1,Schist
GS-004,8.8753,7.2984,510,48290,3.18,3.47,13.8,Pegmatite
GS-005,8.7265,7.4561,381,48040,2.52,2.74,10.8,Granite
GS-006,8.9012,7.5124,447,47910,2.16,2.38,9.4,Gneiss
GS-007,8.7634,7.3298,535,47720,1.42,1.83,6.5,Schist
GS-008,8.8476,7.2671,403,48340,3.31,3.62,14.6,Pegmatite
GS-009,8.9185,7.4013,476,48170,2.83,3.11,11.9,Granite
GS-010,8.7842,7.4892,419,47960,2.27,2.49,9.8,Gneiss
GS-011,8.7351,7.3156,458,47810,1.63,2.12,7.4,Schist
GS-012,8.8637,7.3548,491,48310,3.05,3.29,13.1,Pegmatite
GS-013,8.8229,7.4632,436,48090,2.68,2.95,11.2,Granite
GS-014,8.7956,7.2864,367,47930,2.11,2.21,8.9,Gneiss
GS-015,8.8891,7.4357,522,47760,1.38,1.76,6.2,Schist
GS-016,8.7498,7.3985,414,48260,3.24,3.55,14.1,Pegmatite
GS-017,8.9104,7.2763,445,48140,2.76,3.08,11.6,Granite
GS-018,8.7721,7.4418,398,47970,2.35,2.57,10.0,Gneiss
GS-019,8.8513,7.5167,487,47790,1.57,2.01,7.0,Schist
GS-020,8.8067,7.3274,462,48380,3.39,3.74,15.0,Pegmatite
